city,distance
Jakarta,0.0
Surabaya,665.3685148137197
Bandung,118.59824837854477
Bekasi,16.511497401556888
Medan,1410.6943537176824
Palembang,421.910969439861
Semarang,406.6412133914169
Makassar,1400.7590681455429
Cilacap,295.84381055314867
Bogor,44.62182448281851
Bandar Lampung,191.32235047477118
Padang,921.2835617021473
Malang,669.0834529430747
Pekanbaru,957.0952982589997
Denpasar,965.8127591729408
Yogyakarta,430.13725993554715
Palu,1557.314004785097
Pontianak,733.627286814007
Banjarmasin,915.4936964285554
Samarinda,1306.949449400307
Binjai,1424.8820059730626
Surakarta,467.6152727104532
Banda Aceh,1821.1521300298073
Bukittinggi,968.4109776766006
Pasuruan,689.9199731709851
Mataram,1061.1561675941477
Jambi,620.3022372934761
Manado,2174.3684882362263
Balikpapan,1236.905367463863
Bengkulu,569.7164700878847
Gorontalo,1951.862160046314
Ambon,2385.410929190599
Pematangsiantar,1328.950119216203
Jember,789.0160617384103
Kupang,1898.026516469309
Sukabumi,81.67889624831245
Majene,1377.4002874454407
Pekalongan,323.7102976527475
Tasikmalaya,199.13869563742765
Tebingtinggi,1355.4035444898345
Padangsidempuan,1185.185429837663
Cirebon,201.86122020713805
Singkawang,818.7690168079106
Tegal,264.75572490532
Kediri,598.5989164865989
Singaraja,937.7935345308625
Tanjungpinang,826.7594409338601
Sibolga,1250.723988186232
Martapura,939.166734667
Tarakan,1593.6636948706102
Ternate,2408.404814464284
Madiun,542.4197223819443
Pinrang,1446.274468240928
Probolinggo,719.8215987837782
Salatiga,423.7217243774142
Banyuwangi,862.2300795536236
Jayapura,3780.1875299715766
Kendari,1765.449895179932
Serang,75.57973306788831
Palangkaraya,899.9684420056661
Lhokseumawe,1654.9153730777903
Blitar,623.970338848228
Pangkalpinang,458.99936218724235
Sorong,2779.186746105332
Indramayu,165.80192098450377
Pati,469.3863335032517
Langsa,1552.1869373389873
Mojokerto,635.4088315288462
Magelang,397.0885885614881
Raba,1341.790414925836
Maumere,1719.4274141146418
Biak,3291.8505456198627
Prabumulih,417.4355505639159
Bontang,1375.5545181445334
Manokwari,3081.7516843850935
Sofifi,2427.0540654431393
Mamuju,1392.6074466986656
Tanjung Selor,1537.7360320484172
Sungai Penuh,755.2722670057996
Sampit,789.6593462728889
Parepare,1439.5317105208817
Sumenep,781.7568698908523
Watampone,1507.6312400046565
Ende,1662.1722967383912
Tuban,582.9363194313246
Lahat,450.04653629382346
Tanjungpandan,389.469436746512
Soasio,2412.656617615753
Ruteng,1529.6628998156143
Sawahlunto,906.6540180246203
Waingapu,1529.1921346616582
Luwuk,1864.8013309639377
Amahai,2472.7457699687966
Poso,1634.9064529218135
Padangpanjang,953.0061651188456
Nabire,3196.849607286253
Kotabumi,260.19416676327586
Kuala Kapuas,900.9835731288815
Praya,1081.8078268025572
Merauke,3714.5935925789045
Kulat,964.0181883548508
Tinipuka,3336.1694775012247
Baubau,1750.050847753224
Makale,1484.4232310662394
Palopo,1525.7547321408938
Tarutung,1258.6758052464052
Buton,1159.1115155574012
